violation_desc,issue_datetime,fine,issuing_agency,lat,lon,zip_code
BUS ONLY ZONE,2017-12-06T12:29:00Z,51,PPA,40.035503,-75.08111,19149
STOPPING PROHIBITED,2017-10-16T18:03:00Z,51,PPA,40.025712,-75.222495,19127
OVER TIME LIMIT,2017-11-02T22:09:00Z,26,PPA,40.025792,-75.222557,19127
OVER TIME LIMIT,2017-11-05T20:19:00Z,26,PPA,40.025898,-75.222708,19127
STOP PROHIBITED CC,2017-10-17T06:58:00Z,76,PPA,39.95617,-75.166025,19102
DOUBLE PARKED,2017-10-02T10:40:00Z,51,POLICE,40.0396221321737,-75.1428797727407,NA
OVER TIME LIMIT CC,2017-11-11T17:33:00Z,36,PPA,39.955535,-75.140308,NA
OVER TIME LIMIT CC,2017-11-14T16:17:00Z,36,PPA,39.943748,-75.150215,19106
FIRE HYDRANT,2017-11-28T11:28:00Z,76,PPA,39.940588,-75.147927,19147
METER EXPIRED,2017-10-05T12:46:00Z,26,PPA,40.040257,-75.076538,19149
METER EXPIRED,2017-11-13T16:52:00Z,26,PPA,40.039637,-75.144698,19141
HP RESERVED SPACE,2017-11-21T16:03:00Z,301,PPA,40.076718,-75.208598,NA
METER EXPIRED CC,2017-10-10T13:46:00Z,36,PPA,39.95546,-75.200672,19104
LOADING ZONE   CC,2017-12-21T11:01:00Z,51,PPA,39.94907,-75.142137,19106
METER EXPIRED,2017-11-22T11:08:00Z,26,PPA,39.995415,-75.112593,NA
OVER TIME LIMIT,2017-11-14T13:40:00Z,26,PPA,39.96898,-75.17388,19130
OVER TIME LIMIT,2017-11-22T13:42:00Z,26,PPA,39.969035,-75.173902,19130
OVER TIME LIMIT CC,2017-10-06T21:39:00Z,36,PPA,39.944332,-75.15673,19147
STREET CLEANING,2017-12-02T09:25:00Z,31,PPA,39.944287,-75.154152,19106
STOP PROHIBITED CC,2017-10-16T20:34:00Z,76,PPA,39.950805,-75.194435,19104
STOP PROHIBITED CC,2017-11-22T17:20:00Z,76,PPA,39.952975,-75.145013,19106
OVER TIME LIMIT,2017-11-09T13:44:00Z,26,PPA,39.924808,-75.162835,19148
METER EXPIRED CC,2017-11-27T14:03:00Z,36,PPA,39.952792,-75.19144,19104
PASSENGR LOADNG ZONE,2017-12-01T19:24:00Z,31,PPA,39.941865,-75.149152,19147
METER EXPIRED,2017-12-08T18:59:00Z,26,PPA,40.026695,-75.226427,19127
METER EXPIRED,2017-10-21T21:13:00Z,26,PPA,40.008515,-75.151278,19140
METER EXPIRED CC,2017-10-02T12:19:00Z,36,PPA,39.9488,-75.146005,19106
METER EXPIRED,2017-11-20T16:38:00Z,26,PPA,40.075235,-75.205163,19118
EXPIRED INSPECTION,2017-10-23T18:26:00Z,41,PPA,39.941877,-75.149028,19147
METER EXPIRED CC,2017-11-03T12:06:00Z,36,PPA,39.950088,-75.154988,19107
SIDEWALK,2017-10-01T10:06:00Z,51,POLICE,39.9860260534279,-75.1709064279627,NA
CORNER CLEARANCE,2017-09-28T12:17:00Z,51,POLICE,39.9800100726969,-75.1775297701725,19121
EXPIRED INSPECTION,2017-10-01T00:30:00Z,41,POLICE,39.9858803680448,-75.1604637511935,NA
SIDEWALK,2017-10-01T00:30:00Z,51,POLICE,39.9858803680448,-75.1604637511935,NA
METER EXPIRED,2017-11-22T14:25:00Z,26,PPA,39.924648,-75.169585,19145
PASSENGR LOADNG ZONE,2017-12-06T11:20:00Z,31,PPA,39.950175,-75.168645,19103
SIDEWALK,2017-12-10T00:00:00Z,51,POLICE,39.9997309780453,-75.1688927336535,NA
PARKING PROHBITED CC,2017-12-13T09:01:00Z,51,POLICE,39.9444139484765,-75.1558627167622,NA
PARKING PROHBITED,2017-12-23T11:15:00Z,41,POLICE,39.9635446313692,-75.1408327243613,19123
OVER TIME LIMIT,2017-11-15T15:19:00Z,26,PPA,39.93981,-75.168718,19146
METER EXPIRED CC,2017-11-22T21:34:00Z,36,PPA,39.956758,-75.170887,19103
METER EXPIRED CC,2017-12-29T20:48:00Z,36,PPA,39.955473,-75.172938,19103
METER EXPIRED CC,2017-10-30T14:20:00Z,36,PPA,39.948388,-75.142813,19106
STOP PROHIBITED CC,2017-11-11T12:06:00Z,76,PPA,39.949045,-75.143087,19106
PARKING PROHBITED CC,2017-12-27T14:02:00Z,51,PPA,39.945565,-75.162335,19107
METER EXPIRED CC,2017-12-28T12:51:00Z,36,PPA,39.945123,-75.161803,19107
METER EXPIRED CC,2017-11-28T13:51:00Z,36,PPA,39.949628,-75.14367,19106
METER EXPIRED,2017-12-27T11:19:00Z,26,PPA,39.995362,-75.112232,19134
PARKING PROHBITED,2017-12-24T10:46:00Z,41,POLICE,39.9798585023107,-75.2533023444033,19151
METER EXPIRED CC,2017-12-11T17:47:00Z,36,PPA,39.94833,-75.17428,19103
METER EXPIRED CC,2017-10-06T12:41:00Z,36,PPA,39.9556,-75.199985,19104
METER EXPIRED CC,2017-10-27T12:56:00Z,36,PPA,39.955517,-75.198348,19104
METER EXPIRED CC,2017-11-17T20:38:00Z,36,PPA,39.94949,-75.15947,19107
CORNER CLEARANCE,2017-11-20T09:57:00Z,51,PPA,39.956572,-75.215377,19139
EXPIRED INSPECTION,2017-12-08T10:23:00Z,41,PPA,39.956258,-75.215565,NA
EXPIRED INSPECTION,2017-12-12T00:00:00Z,41,POLICE,39.9737771309497,-75.2277059179557,19131
PARKING PROHBITED,2017-12-01T19:35:00Z,41,POLICE,39.9556681325366,-75.2151388892151,NA
OVER TIME LIMIT,2017-11-11T12:54:00Z,26,PPA,39.956445,-75.225207,19139
OVER TIME LIMIT,2017-11-11T12:56:00Z,26,PPA,39.956307,-75.224428,19139
METER EXPIRED,2017-11-10T21:47:00Z,26,PPA,39.928008,-75.16577,19148
METER EXPIRED CC,2017-11-11T11:33:00Z,36,PPA,39.955708,-75.198265,19104
METER EXPIRED CC,2017-11-11T11:54:00Z,36,PPA,39.953737,-75.202768,19104
METER EXPIRED CC,2017-11-11T13:26:00Z,36,PPA,39.955472,-75.19808,19104
METER EXPIRED CC,2017-12-03T13:08:00Z,36,PPA,39.95227,-75.18562,19104
FIRE HYDRANT,2017-10-17T11:40:00Z,76,PPA,40.028085,-75.139213,NA
METER EXPIRED CC,2017-11-11T14:24:00Z,36,PPA,39.954052,-75.202638,19104
METER EXPIRED CC,2017-11-11T08:39:00Z,36,PPA,39.955617,-75.155902,19107
BUS ONLY ZONE,2017-11-22T14:37:00Z,51,PPA,40.009603,-75.1512,19140
METER EXPIRED CC,2017-11-11T14:28:00Z,36,PPA,39.953273,-75.202748,19104
CORNER CLEARANCE,2017-11-11T07:27:00Z,51,PPA,40.02797,-75.132248,NA
METER EXPIRED CC,2017-11-10T22:49:00Z,36,PPA,39.941952,-75.151113,19147
EXPIRED INSPECTION,2017-11-10T22:48:00Z,41,PPA,39.941862,-75.151068,19147
METER EXPIRED,2017-11-11T09:44:00Z,26,PPA,40.034562,-75.17433,19144
METER EXPIRED,2017-11-11T10:24:00Z,26,PPA,40.03533,-75.173322,19144
METER EXPIRED,2017-11-11T10:26:00Z,26,PPA,40.03505,-75.173908,19144
METER EXPIRED CC,2017-11-29T21:33:00Z,36,PPA,39.951075,-75.1707,19103
METER EXPIRED CC,2017-11-22T13:10:00Z,36,PPA,39.949922,-75.143292,NA
STOP PROHIBITED CC,2017-11-22T19:23:00Z,76,PPA,39.956328,-75.202077,19104
PARKING PROHBITED,2017-11-24T07:05:00Z,41,POLICE,40.0023883888311,-75.1527386379524,19140
METER EXPIRED CC,2017-10-12T15:48:00Z,36,PPA,39.956327,-75.161635,19107
METER EXPIRED CC,2017-12-30T10:05:00Z,36,PPA,39.95283,-75.15796,19107
PARKING PROHBITED CC,2017-12-13T12:17:00Z,51,PPA,39.948688,-75.147592,19106
METER EXPIRED,2017-11-22T17:24:00Z,26,PPA,40.04874,-75.09639,19111
METER EXPIRED,2017-11-22T17:25:00Z,26,PPA,40.049053,-75.096137,19111
METER EXPIRED,2017-11-22T17:28:00Z,26,PPA,40.04979,-75.095038,19111
METER EXPIRED CC,2017-11-03T13:02:00Z,36,PPA,39.942477,-75.155962,19147
EXPIRED INSPECTION,2017-11-24T12:30:00Z,41,PPA,39.941703,-75.150368,19147
EXPIRED INSPECTION,2017-11-25T14:23:00Z,41,PPA,39.961265,-75.173448,19103
METER EXPIRED,2017-11-22T17:54:00Z,26,PPA,40.060667,-75.084557,19111
METER EXPIRED CC,2017-11-11T10:04:00Z,36,PPA,39.95599,-75.197847,19104
PARKING PROHBITED,2017-11-22T11:19:00Z,41,PPA,39.942757,-75.173678,19146
METER EXPIRED CC,2017-11-22T11:23:00Z,36,PPA,39.944462,-75.173585,19146
METER EXPIRED CC,2017-11-15T19:48:00Z,36,PPA,39.953708,-75.158608,19107
STOP PROHIBITED CC,2017-12-19T16:46:00Z,76,PPA,39.950413,-75.145583,19106
STOPPING PROHIBITED,2017-11-08T21:47:00Z,51,PPA,39.922018,-75.171897,19145
METER EXPIRED CC,2017-10-27T16:07:00Z,36,PPA,39.947493,-75.14858,19106
OVER TIME LIMIT CC,2017-11-14T11:12:00Z,36,PPA,39.956677,-75.176777,NA
METER EXPIRED CC,2017-11-27T15:32:00Z,36,PPA,39.948583,-75.170272,19103
METER EXPIRED,2017-11-11T14:27:00Z,26,PPA,39.956857,-75.224617,19139
OVER TIME LIMIT,2017-11-16T11:03:00Z,26,PPA,39.968458,-75.169102,19130
EXPIRED INSPECTION,2017-11-22T17:31:00Z,41,PPA,39.95051,-75.170235,19103
METER EXPIRED,2017-11-11T12:49:00Z,26,PPA,40.035297,-75.173353,19144
OVER TIME LIMIT,2017-12-14T14:02:00Z,26,PPA,40.040105,-75.139868,NA
OVER TIME LIMIT,2017-11-28T15:02:00Z,26,PPA,40.014903,-75.08672,19124
PARKING PROHBITED CC,2017-11-10T11:19:00Z,51,PPA,39.946783,-75.182937,19146
OVER TIME LIMIT,2017-12-16T11:20:00Z,26,PPA,40.042452,-75.155887,19138
HP RESERVED SPACE,2017-12-08T11:04:00Z,301,PPA,39.952333,-75.170858,19103
PASSENGR LOADNG ZONE,2017-12-04T10:04:00Z,31,PPA,39.930172,-75.165973,19148
HP RAMP BLOCKED,2017-11-13T10:23:00Z,76,PPA,40.040858,-75.154027,NA
METER EXPIRED,2017-12-11T17:32:00Z,26,PPA,40.040445,-75.144553,19141
METER EXPIRED,2017-11-27T17:34:00Z,26,PPA,39.96441,-75.20426,19104
EXPIRED INSPECTION,2017-12-01T13:11:00Z,41,PPA,39.951368,-75.174382,19103
EXPIRED INSPECTION,2017-12-01T09:39:00Z,41,PPA,39.959895,-75.188247,19104
STOP PROHIBITED CC,2017-11-24T21:46:00Z,76,POLICE,39.9554758376865,-75.1566822883703,19107
METER EXPIRED,2017-12-11T09:05:00Z,26,PPA,39.925945,-75.169285,NA
METER EXPIRED CC,2017-11-22T18:50:00Z,36,PPA,39.949302,-75.14601,19106
METER EXPIRED CC,2017-11-22T20:05:00Z,36,PPA,39.948318,-75.144513,19106
METER EXPIRED CC,2017-11-22T20:16:00Z,36,PPA,39.948398,-75.143157,19106
METER EXPIRED CC,2017-11-11T14:06:00Z,36,PPA,39.95357,-75.198143,19104
METER EXPIRED CC,2017-11-11T14:16:00Z,36,PPA,39.956423,-75.196818,19104
METER EXPIRED CC,2017-11-11T14:50:00Z,36,PPA,39.952512,-75.198865,NA
METER EXPIRED CC,2017-11-09T15:18:00Z,36,PPA,39.959868,-75.164407,19130
PARKING PROHBITED,2017-10-18T01:23:00Z,41,POLICE,39.9701476941485,-75.1783315439882,19130
EXPIRED INSPECTION,2017-10-31T16:38:00Z,41,PPA,40.04101,-75.075772,19149
METER EXPIRED CC,2017-11-04T11:34:00Z,36,PPA,39.955492,-75.176085,19103
HP RESERVED SPACE,2017-11-01T19:37:00Z,301,PPA,39.950068,-75.158117,19107
STOP PROHIBITED CC,2017-10-12T20:07:00Z,76,PPA,39.94199,-75.152273,19147
EXPIRED INSPECTION,2017-11-07T12:54:00Z,41,POLICE,39.9729690846012,-75.247954358388,19151
METER EXPIRED CC,2017-12-14T21:48:00Z,36,PPA,39.941083,-75.145005,19147
OVER TIME LIMIT CC,2017-10-28T11:32:00Z,36,PPA,39.941927,-75.155618,19147
EXPIRED INSPECTION,2017-11-14T18:16:00Z,41,PPA,39.983437,-75.158925,NA
METER EXPIRED,2017-11-11T12:47:00Z,26,PPA,40.04215,-75.074618,19149
METER EXPIRED,2017-11-11T12:58:00Z,26,PPA,40.041115,-75.07567,19149
METER EXPIRED CC,2017-11-29T15:03:00Z,36,PPA,39.949943,-75.157827,19107
METER EXPIRED,2017-11-11T09:42:00Z,26,PPA,40.044075,-75.07293,19149
METER EXPIRED,2017-11-11T09:48:00Z,26,PPA,40.042828,-75.074197,19149
METER EXPIRED,2017-11-11T10:44:00Z,26,PPA,40.050238,-75.094875,19111
METER EXPIRED CC,2017-11-11T15:51:00Z,36,PPA,39.947192,-75.145717,19106
METER EXPIRED CC,2017-11-11T11:41:00Z,36,PPA,39.9535,-75.197408,19104
METER EXPIRED CC,2017-11-11T12:23:00Z,36,PPA,39.954305,-75.194505,19104
STOP PROHIBITED CC,2017-11-11T12:26:00Z,76,PPA,39.954632,-75.19457,19104
METER EXPIRED,2017-11-11T10:25:00Z,26,PPA,39.995103,-75.115588,19134
OVER TIME LIMIT,2017-11-29T12:08:00Z,26,PPA,40.024407,-75.146153,NA
METER EXPIRED,2017-12-01T17:12:00Z,26,PPA,40.037542,-75.141442,NA
METER EXPIRED,2017-11-11T14:01:00Z,26,PPA,40.039563,-75.077562,19111
METER EXPIRED,2017-11-11T14:07:00Z,26,PPA,40.039595,-75.077085,19149
METER EXPIRED,2017-11-01T17:04:00Z,26,PPA,40.04019,-75.076833,19149
METER EXPIRED,2017-11-11T08:55:00Z,26,PPA,40.038545,-75.035807,19136
PARKING PROHBITED CC,2017-11-30T18:32:00Z,51,PPA,39.9486,-75.147653,19106
CROSSWALK,2017-11-11T13:43:00Z,51,PPA,39.976507,-75.159162,NA
METER EXPIRED,2017-11-20T12:19:00Z,26,PPA,40.035362,-75.043433,19135
METER EXPIRED CC,2017-10-30T14:37:00Z,36,PPA,39.949097,-75.16923,19103
OVER TIME LIMIT,2017-12-12T10:44:00Z,26,PPA,39.967868,-75.170025,19130
STOP PROHIBITED CC,2017-11-13T15:27:00Z,76,PPA,39.952563,-75.169537,19103
METER EXPIRED,2017-11-18T10:08:00Z,26,PPA,40.03439,-75.215715,19128
METER EXPIRED CC,2017-11-29T13:59:00Z,36,PPA,39.948718,-75.146417,19106
OVER TIME LIMIT,2017-11-11T11:17:00Z,26,PPA,39.963508,-75.19003,19104
FIRE HYDRANT,2017-10-03T00:52:00Z,76,POLICE,40.0228821803107,-75.0764395100663,19124
BUS ONLY ZONE,2017-10-11T07:28:00Z,51,PPA,39.930382,-75.1768,19145
METER EXPIRED CC,2017-11-08T17:17:00Z,36,PPA,39.953727,-75.193053,19104
OVER TIME LIMIT,2017-11-11T11:26:00Z,26,PPA,39.96511,-75.190395,19104
STOPPING PROHIBITED,2017-10-18T15:08:00Z,51,PPA,39.995815,-75.234208,19131
OVER TIME LIMIT,2017-10-06T19:21:00Z,26,PPA,39.94661,-75.213675,NA
EXPIRED INSPECTION,2017-12-19T11:43:00Z,41,PPA,39.967263,-75.136508,19123
EXPIRED INSPECTION,2017-12-20T14:17:00Z,41,PPA,39.967233,-75.136533,19123
